"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"",0.466666666666667,0.586776859504132,0.340852130325815,0.603260869565217,0.395114942528736,0.527272727272727,0.517647058823529,0.652267818574514,0.614285714285714,0.545454545454545,0.607692307692308,0.780487804878049,0.453038674033149,0.398724082934609
"",0.519298245614035,0.619834710743802,0.333333333333333,0.625,0.386494252873563,0.527272727272727,0.6,0.570194384449244,0.735714285714286,0.441558441558442,0.630769230769231,0.809756097560976,0.453038674033149,0.437001594896332
"",0.533333333333333,0.619834710743802,0.335839598997494,0.58695652173913,0.392241379310345,0.490909090909091,0.6,0.611231101511879,0.707142857142857,0.558441558441558,0.746153846153846,0.780487804878049,0.414364640883978,0.406698564593301
"",0.491228070175439,0.636363636363636,0.360902255639098,0.581521739130435,0.400862068965517,0.490909090909091,0.470588235294118,0.619870410367171,0.664285714285714,0.441558441558442,0.684615384615385,0.775609756097561,0.455801104972376,0.389154704944179
"",0.52280701754386,0.644628099173554,0.333333333333333,0.58695652173913,0.410919540229885,0.490909090909091,0.435294117647059,0.57451403887689,0.635714285714286,0.545454545454545,0.661538461538462,0.795121951219512,0.447513812154696,0.400318979266348
"",0.491228070175439,0.644628099173554,0.343358395989975,0.619565217391304,0.364942528735632,0.436363636363636,0.482352941176471,0.596112311015119,0.685714285714286,0.519480519480519,0.638461538461538,0.809756097560976,0.419889502762431,0.393939393939394
"",0.463157894736842,0.652892561983471,0.353383458646617,0.554347826086957,0.367816091954023,0.418181818181818,0.564705882352941,0.617710583153348,0.7,0.532467532467532,0.669230769230769,0.785365853658537,0.455801104972376,0.384370015948963
"",0.519298245614035,0.661157024793388,0.350877192982456,0.635869565217391,0.376436781609195,0.490909090909091,0.541176470588235,0.628509719222462,0.621428571428571,0.506493506493506,0.569230769230769,0.785365853658537,0.421270718232044,0.389154704944179
"",0.512280701754386,0.636363636363636,0.363408521303258,0.603260869565217,0.372126436781609,0.436363636363636,0.470588235294118,0.628509719222462,0.7,0.545454545454545,0.561538461538462,0.785365853658537,0.430939226519337,0.406698564593301
"",0.491228070175439,0.619834710743802,0.368421052631579,0.619565217391304,0.389367816091954,0.527272727272727,0.517647058823529,0.591792656587473,0.707142857142857,0.545454545454545,0.638461538461538,0.751219512195122,0.475138121546961,0.421052631578947
"acc.mean.j",0.501052631578947,0.632231404958678,0.348370927318296,0.601630434782609,0.385632183908046,0.483636363636364,0.52,0.609071274298056,0.677142857142857,0.518181818181818,0.640769230769231,0.785853658536585,0.44267955801105,0.402711323763955
"acc.sd.j",0.0240719826099423,0.0214274782177741,0.0129423002379529,0.0245803360769358,0.0150264125488672,0.0403838333308065,0.0565032585233816,0.0257976571161539,0.0412118029017501,0.0430512896639024,0.054640057024949,0.016968319152123,0.0198695631924863,0.0161470946820706
