"","method","precision","recall","f1","accuracy","time"
"1","coauthor",0.720789074355083,0.837531486146096,0.774787370383316,0.952236224363726,3.1
"2","paper",0.153746266718608,0.29823677581864,0.202896067175049,0.770126019273536,0.690000000000055
"3","journal",0.36406526439945,0.466498740554156,0.408965441095285,0.867729182110205,0.604999999999905
